code,name,Philosophical Inquiry and Life's Meanings,Aesthetic Exploration,Historical Consciousness,Scientific Inquiry I,Social Inquiry I,Scientific Inquiry II,Social Inquiry II,Quantitative Reasoning I,Quantitative Reasoning II,The Individual in Community,Global Citizenship and Intercultural Literacy,Ethical Reasoning,First-Year Writing Seminar,"Writing, Research, and Inquiry",Writing-Intensive Course,Oral and/or Signed Communication,Digital/Multimedia Expression,Critical Thinking,Research and Information Literacy,Teamwork/Collaboration,Creativity/Innovation
CAS AA 103,Introduction to African American Literature,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
CAS AA 112,Black Power in the Classroom: The History of Black Studies,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CAS AA 114,"Kongo to Cuba: Art, Exchange, and Self-Determination in Africa and Latin America",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
CAS AA 132,Write Back Soon: Blackness and the Prison,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
CAS AA 207,Sociology of Race and Ethnicity,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
CAS AA 215,Arts of Africa and Its Diaspora,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
CAS AA 221,Catastrophe and Memory,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CAS AA 234,African Americans in Global Perspective: Slavery and the Creation of Race,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
CAS AA 237,Reconstructing the African Past,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS AA 238,Modern Africa,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS AA 287,Slavery and the In-Between,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
CAS AA 294,Religion and Black Popular Music,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AA 296,Religion and Hip Hop,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
CAS AA 297,African American Women's History,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CAS AA 301,African Diaspora Archaeology,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
CAS AA 304,Introduction to African American Women Writers,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
CAS AA 305,Toni Morrison's American Times,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
CAS AA 308,Race and Politics,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CAS AA 313,The Politics and Policy of HBO's The Wire,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
CAS AA 319,Race and the Politics of Criminal Justice Policy,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CAS AA 335,"Sociology of Race, Class & Gender",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
CAS AA 356,Religion in the Digital Age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
CAS AA 371,Black Freedom Dreams: America and the World,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
CAS AA 382,History of Religion in Pre-Colonial Africa,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS AA 383,African Diaspora Religions,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
CAS AA 388,Transnational Black Radicalism from the 19th Century to the Present,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
CAS AA 404,Seminar on Sociology of Families,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
CAS AA 416,"Religion, Race, and Climate Change",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS AA 430,Black American Cinema,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CAS AA 477,Critical Studies: Black Diaspora Theory and Practice,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
CAS AH 111,Pyramids to Cathedrals: An Introduction to Ancient and Medieval Art,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS AH 112,Introduction to Art in Europe and the United States from the Renaissance to Post- Modernism,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS AH 113,Arts and Monuments of Asia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CAS AH 114,"Kongo to Cuba: Art, Exchange, and Self-Determination in Africa and Latin America",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
CAS AH 201,Understanding Architecture,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CAS AH 210,Learning to See,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CAS AH 215,Arts of Africa and Its Diaspora,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
CAS AH 220,Islamic Art and Architecture,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CAS AH 225,The Arts of Asia,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CAS AH 240,Medieval Art in Europe,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AH 251,Ancient Maya Civilization,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AH 257,Renaissance Art,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CAS AH 284,Arts in America,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS AH 325,"Art, Media, and Buddhism",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CAS AH 326,Arts of Japan,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
