code,name,Philosophical Inquiry and Life's Meanings,Aesthetic Exploration,Historical Consciousness,Scientific Inquiry I,Social Inquiry I,Scientific Inquiry II,Social Inquiry II,Quantitative Reasoning I,Quantitative Reasoning II,The Individual in Community,Global Citizenship and Intercultural Literacy,Ethical Reasoning,First-Year Writing Seminar,"Writing, Research, and Inquiry",Writing-Intensive Course,Oral and/or Signed Communication,Digital/Multimedia Expression,Critical Thinking,Research and Information Literacy,Teamwork/Collaboration,Creativity/Innovation
CFA AR 121,Foundation Sculpture,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CFA AR 123,"Foundation Design: Introductory Principles, Practices",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CFA AR 131,Drawing 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CFA AR 132,Drawing One: Drawing as Visual Language,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CFA AR 141,Foundation Painting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 192,Introduction to Drawing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 193,Visual Arts Drawing,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CFA AR 194,Mixed Media Drawing and Collage,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CFA AR 221,Materials and Methods in Sculpture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CFA AR 223,Installation Art: Subject-Object Relationship in the Contemporary Landscape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 224,New Genres in Sculpture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
CFA AR 225,Sophomore Graphic Design Fall,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CFA AR 226,Sophomore Graphic Design 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 236,Human Anatomy for the Artist,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 238,Drawing Concepts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 239,Figure Drawing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 241,Painting 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 242,Painting 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CFA AR 243,Photography 1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
CFA AR 250,Introduction to Printmaking,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CFA AR 251,Introduction to Printmaking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 260,Special Topics in Visual Art,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 270,Bookmaking Techniques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 309,Drawing Trees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 321,Sculpture Studio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 322,Sculpture Studios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 327,Sculpture Techniques 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 329,Contemporary Issues Semester 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CFA AR 331,Contemporary Issues: Interpretation,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CFA AR 332,Senior Painting Seminar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CFA AR 339,Sculpture Thesis Seminar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 341,Junior Painting Studio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CFA AR 342,Painting Studio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 345,Senior Painting Studio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 346,Senior Painting Studios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 369,"Art, Community, and Social Engagement",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
CFA AR 381,Junior Graphic Design 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
CFA AR 382,Junior Graphic Design 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 385,Typography 1: Rules of Typography,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 386,"Sophomore Type Spring: Hierarchy, Composition",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 389,Graphic Design Elective,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 401,Directed Study Sculpture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 402,Directed Study Ceramics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 403,Directed Study Printmaking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 404,Directed Study Graphic Design,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 406,Directed Study Painting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 410,Directed Study Visual Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 412,Architectural Design 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
CFA AR 425,The Artist and the Book,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CFA AR 428,Architecture Site Design 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
CFA AR 432,Advanced Drawing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 447,Printmaking 1: Etching & Monotype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CFA AR 450,The Art of the Multiple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CFA AR 451,Printmaking: Advanced Projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 452,Printmaking 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 455,Elementary Methods of Art Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 456,Elementary Pre-Practicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 460,Secondary Methods of Art Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 461,Directed Study Art Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 462,Secondary Pre-Practicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 469,Color,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 470,Ceramics 1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
CFA AR 471,Ceramics 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 480,Senior Capstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 483,Senior Graphic Design: Collaboration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 484,Senior Graphic Design Studio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CFA AR 487,Junior Typography,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 497,Junior Type: Motion + Interactivity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 500,Directed Study: Drawing Elective,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 502,Branding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 505,Certificate Typography,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 508,The Experimental Photograph,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
CFA AR 509,Drawing Trees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 510,Photo Lab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 512,Architectural Design 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
CFA AR 515,Digital Photo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
CFA AR 517,Digital Printmaking: Ink & Pixel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CFA AR 518,Silkscreen Print,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
