code,name,Philosophical Inquiry and Life's Meanings,Aesthetic Exploration,Historical Consciousness,Scientific Inquiry I,Social Inquiry I,Scientific Inquiry II,Social Inquiry II,Quantitative Reasoning I,Quantitative Reasoning II,The Individual in Community,Global Citizenship and Intercultural Literacy,Ethical Reasoning,First-Year Writing Seminar,"Writing, Research, and Inquiry",Writing-Intensive Course,Oral and/or Signed Communication,Digital/Multimedia Expression,Critical Thinking,Research and Information Literacy,Teamwork/Collaboration,Creativity/Innovation
CFA AR 121,Foundation Sculpture,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CFA AR 123,"Foundation Design: Introductory Principles, Practices",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CFA AR 131,Drawing 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CFA AR 132,Drawing One: Drawing as Visual Language,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CFA AR 193,Visual Arts Drawing,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CFA AR 194,Mixed Media Drawing and Collage,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CFA AR 221,Materials and Methods in Sculpture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CFA AR 224,New Genres in Sculpture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
CFA AR 225,Sophomore Graphic Design Fall,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CFA AR 236,Human Anatomy for the Artist,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA AR 242,Painting 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CFA AR 243,Photography 1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
CFA AR 250,Introduction to Printmaking,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CFA AR 329,Contemporary Issues Semester 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CFA AR 331,Contemporary Issues: Interpretation,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CFA AR 332,Senior Painting Seminar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CFA AR 341,Junior Painting Studio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CFA AR 369,"Art, Community, and Social Engagement",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
CFA AR 381,Junior Graphic Design 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
CFA AR 412,Architectural Design 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
CFA AR 425,The Artist and the Book,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CFA AR 428,Architecture Site Design 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
CFA AR 447,Printmaking 1: Etching & Monotype,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CFA AR 450,The Art of the Multiple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CFA AR 470,Ceramics 1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
CFA AR 484,Senior Graphic Design Studio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CFA AR 508,The Experimental Photograph,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
CFA AR 512,Architectural Design 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
CFA AR 515,Digital Photo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
CFA AR 517,Digital Printmaking: Ink & Pixel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CFA AR 545,Performative Text and Design,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
CFA AR 554,Art Education Seminar: Curriculum and Instruction 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CFA AR 558,Contemporary Issues in Art Education (4 credits; fall semester),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CFA AR 565,"Art, Access, and Inclusion (4 credits; spring semester)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CFA AR 580,History of Graphic Design,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
CFA AR 586,Child Development through Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CFA AR 770,Ceramics 1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
CFA FA 100,"Doing, Making & Knowing: The CFA Experience",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA FA 350,Arts By The Numbers,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CFA FA 520,Career Development in the Arts,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
CFA FA 550,Arts Internship,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
CFA ME 203,Introduction to Music Teaching and Learning,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA ME 306,Elementary General Music Methods,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
CFA ME 307,Secondary General Music Methods,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CFA ME 344,Technology for Musicians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CFA ME 506,Elementary General Music Methods,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
CFA ME 507,Secondary General Music Methods,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CFA ME 544,Technology for Musicians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CFA MH 106,Music and Culture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA MH 211,History & Literature of Music 1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CFA MH 212,History & Literature of Music 2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA MH 404,Approaches to Sacred Music East and West,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
CFA MH 408,Bob Dylan: Music and Words,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CFA MH 409,Music of Black Americans,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFA MH 412,"Popular, Forgotten, and Misunderstood: Popular music of the 1950s",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
CFA MH 420,Western Composers and Bali,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CFA MH 436,Musical Culture,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CFA MP 332,Song Literature 2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
CFA MP 404,New Music Ensemble,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CFA MP 409,Chamber Music 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CFA MP 411,Piano Literature 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CFA MP 412,Piano Literature 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CFA MP 416,Piano Pedagogy and Practicum 2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
CFA MP 425,Digital and Multimedia Expression for Musicians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CFA MP 446,String Pedagogy and Practicum 2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
CFA MP 609,Baroque Chamber Music,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CFA MP 616,Piano Pedagogy 2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
CFA MP 646,String Pedagogy and Practicum 2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
CFA MT 105,Elements of Music Theory,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CFA MT 202,Music Theory 4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
CFA MT 301,Music Theory 5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CFA MT 411,Music Theories of the World,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CFA MT 435,Composing with Electronic Sounds and Computers 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CFA MT 441,Acoustical and Psychoacoustical Basis of Music,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CFA MT 472,Music Perception and Cognition,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
CFA MT 635,Composing with Electronic Sounds and Computers 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CFA MT 772,Music Perception and Cognition,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
