code,name,Philosophical Inquiry and Life's Meanings,Aesthetic Exploration,Historical Consciousness,Scientific Inquiry I,Social Inquiry I,Scientific Inquiry II,Social Inquiry II,Quantitative Reasoning I,Quantitative Reasoning II,The Individual in Community,Global Citizenship and Intercultural Literacy,Ethical Reasoning,First-Year Writing Seminar,"Writing, Research, and Inquiry",Writing-Intensive Course,Oral and/or Signed Communication,Digital/Multimedia Expression,Critical Thinking,Research and Information Literacy,Teamwork/Collaboration,Creativity/Innovation
CGS HU 103,Literature and Art from the Ancient World to the Enlightenment,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CGS HU 104E,Literature and Art from the Industrial Revolution to the Digital Revolution,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CGS HU 201,History of Ethics,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CGS HU 202,Modern and Applied Ethics,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CGS HU 240,Imperial Era Global Folklore and Supernatural Fiction,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
CGS HU 250,Supernatural Horror in American Literature and Film,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CGS HU 425,"Trauma in History, Art & Religion",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CGS HU 450,Giving Well,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
CGS IN 250,Cosmic Visions: The Science of Astronomy and the Arts,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CGS IS 400,Interdisciplinary Directed Study,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CGS MA 113,Elementary Statistics,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CGS MA 121,Calculus,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
CGS NS 201,Biology 1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
CGS NS 202,Human Ecology/Global Ecology,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CGS RH 103,Rhetorical Practices from the Ancient World to Enlightenment,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
CGS RH 104E,Rhetorical Practices from The Industrial Revolution through the Digital Revolution,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
CGS SS 103,"Politics, Economies, and Social Change in the West: The Ancient World Through the Enlightenment",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
CGS SS 104E,"Politics, Economies & Social Change in the West: Industrial Revolution to the Digital Revolution",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
CGS SS 201,"Radicals, Rebels, and Revolutionaries: Agents of Global Change",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
CGS SS 202,American Foreign Policy Since World War II,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
CGS SS 300,"Science, Politics & Power: WWII to the 21st Century",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CGS SS 320,Identity Politics in the United States,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
CGS SY 201,The Sophomore Experience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
