code,name,Philosophical Inquiry and Life's Meanings,Aesthetic Exploration,Historical Consciousness,Scientific Inquiry I,Social Inquiry I,Scientific Inquiry II,Social Inquiry II,Quantitative Reasoning I,Quantitative Reasoning II,The Individual in Community,Global Citizenship and Intercultural Literacy,Ethical Reasoning,First-Year Writing Seminar,"Writing, Research, and Inquiry",Writing-Intensive Course,Oral and/or Signed Communication,Digital/Multimedia Expression,Critical Thinking,Research and Information Literacy,Teamwork/Collaboration,Creativity/Innovation
COM CM 211,Professional Presentation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
COM CM 331,Writing for Communication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
COM CM 501,Design Strategy & Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
COM CM 510,Media Expression and Communication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
COM CM 518,Creative Video Development,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
COM CM 525,Public Relations Ethics,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
COM CM 580,PRLab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
COM CM 581,PRLab Executive Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
COM CM 585,AdLab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
COM CM 586,AdLab E-Board,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
COM CO 101,The World of Communication: The Human Storyteller,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
COM CO 201,Introduction to Communication Writing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
COM CO 305,Photography Fundamentals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
COM CO 532,Copyediting Fundamentals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
COM FT 201,"Screen Language: The Aesthetics, Grammar and Rhetoric of the Moving Image",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
COM FT 250,Understanding Film,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
COM FT 303,Understanding Television,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
COM FT 310,Storytelling for Film & Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COM FT 402,Production II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
COM FT 411,Screenwriting 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COM FT 468,Production 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
COM FT 500,Writing Film Criticism,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
COM FT 505,Real World Productions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
COM FT 527,Crowdfunding and Distribution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
COM JO 150,History and Principles of Journalism,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COM JO 200,Newswriting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
COM JO 205,Visual Storytelling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
COM JO 210,Reporting in Depth,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
COM JO 300,Media and Democracy - Journalism in an Age of Disinformation,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
COM JO 322,Smart Phone Reporting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
COM JO 350,Law and Ethics of Journalism,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
COM JO 519,Narrative Radio,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
COM JO 539,Global Health Storytelling,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
COM JO 543,Rescuing Lost Stories: Writing Nonfiction Narratives from the Archives,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
