code,name,Philosophical Inquiry and Life's Meanings,Aesthetic Exploration,Historical Consciousness,Scientific Inquiry I,Social Inquiry I,Scientific Inquiry II,Social Inquiry II,Quantitative Reasoning I,Quantitative Reasoning II,The Individual in Community,Global Citizenship and Intercultural Literacy,Ethical Reasoning,First-Year Writing Seminar,"Writing, Research, and Inquiry",Writing-Intensive Course,Oral and/or Signed Communication,Digital/Multimedia Expression,Critical Thinking,Research and Information Literacy,Teamwork/Collaboration,Creativity/Innovation
ENG BE 400,Undergraduate Special Topics in Biomedical Engineering,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENG BE 466,Biomedical Engineering Senior Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
ENG EC 463,Senior Design Project 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
ENG EC 464,Senior Design Project 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ENG EC 467,Senior Thesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ENG EK 122,Programming for Engineers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENG EK 125,Introduction to Programming for Engineers,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ENG EK 210,Introduction to Engineering Design,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENG EK 301,Engineering Mechanics 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
ENG EK 381,"Probability, Statistics, and Data Science for Engineers",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
ENG ME 310,Instrumentation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENG ME 461,Senior Design 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
