code,name,Aesthetic Exploration,Historical Consciousness,matched_requirements_count
CAS AA 221,Catastrophe and Memory,1,1,2
CAS AH 111,Pyramids to Cathedrals: An Introduction to Ancient and Medieval Art,1,1,2
CAS AH 112,Introduction to Art in Europe and the United States from the Renaissance to Post- Modernism,1,1,2
CAS AH 201,Understanding Architecture,1,1,2
CAS AH 210,Learning to See,1,1,2
CAS AH 225,The Arts of Asia,1,1,2
CAS AH 240,Medieval Art in Europe,1,1,2
CAS AH 257,Renaissance Art,1,1,2
CAS AH 284,Arts in America,1,1,2
CAS AH 325,"Art, Media, and Buddhism",1,1,2
CAS AH 326,Arts of Japan,1,1,2
CAS AH 331,Early Greek Art and Architecture,1,1,2
CAS AH 333,Arts of Classical Greece,1,1,2
CAS AH 365,Baroque Arts in Northern Europe,1,1,2
CAS AH 386,Modern American Art,1,1,2
CAS AH 391,Twentieth-Century Art to 1940,1,1,2
CAS AH 392,Twentieth Century Art from 1940 to 1980,1,1,2
CAS AH 393,Contemporary Art: 1980 to Now,1,1,2
CAS AH 395,History of Photography,1,1,2
CAS AN 397,Anthropology and Film: Ways of Seeing,1,1,2
CAS AR 331,Early Greek Art and Architecture,1,1,2
CAS AR 333,Arts of Classical Greece,1,1,2
CAS CI 101,History of Global Cinema 1: Origins through 1950s,1,1,2
CAS CI 102,History of Global Cinema 2: 1960s to the Present,1,1,2
CAS CI 266,A Study of Italian Cinema from the 1940s to the Present,1,1,2
CAS CI 320,Weimar Cinema (taught in English),1,1,2
CAS CI 383,Auteur Studies: Japan,1,1,2
CAS CI 386,Fascism and the Holocaust in Italy,1,1,2
CAS CI 445,On Screen: Italians in America,1,1,2
CAS CL 207,Sexuality in Ancient Greece and Rome,1,1,2
CAS CL 225,Roman Warfare,1,1,2
CAS CL 351,Latin Seminar,1,1,2
CAS CL 391,Greek Seminar,1,1,2
CAS EN 122,Medieval Worlds,1,1,2
CAS EN 163,Reading Shakespeare,1,1,2
CAS EN 179,Introduction to Trans Literature,1,1,2
CAS EN 322,British Literature I,1,1,2
CAS EN 323,British Literature 2,1,1,2
CAS EN 333,American Literature: Beginnings to Civil War,1,1,2
CAS EN 334,American Literature: Civil War to World War I,1,1,2
CAS EN 341,History of the Novel in English,1,1,2
CAS EN 345,Nineteenth-Century American Fiction,1,1,2
CAS EN 354,The Poetry of War,1,1,2
CAS EN 363,Shakespeare I,1,1,2
CAS EN 364,Shakespeare 2,1,1,2
CAS EN 373,Detective Fiction,1,1,2
CAS HI 221,Catastrophe and Memory,1,1,2
CAS HI 279,Experiencing Total War,1,1,2
CAS HI 300,American Popular Culture,1,1,2
CAS HI 355,Fashion and Beauty Under War and Empire,1,1,2
CAS HI 358,Twentieth-Century European Thought and Culture,1,1,2
CAS HI 390,Cities in the Middle East: Mecca to Dubai,1,1,2
CAS HI 505,"The American South in History, Literature, and Film",1,1,2
CAS HI 539,Nazis on Film,1,1,2
CAS IR 386,Nation Building and Erosion in Africa,1,1,2
CAS JS 120,The Bible,1,1,2
CAS JS 210,The Hebrew Bible,1,1,2
CAS JS 365,Music and the Holocaust,1,1,2
CAS JS 366,Fascism and the Holocaust in Italy,1,1,2
CAS LC 282,Old Tales for New Times: Folktale in Modern China,1,1,2
CAS LF 442,Geographies of the Imagination: Writing (beyond) the Island,1,1,2
CAS LF 448,Medieval Text/Image/Spectacle,1,1,2
CAS LG 387,Weimar Cinema (taught in English),1,1,2
CAS LG 450,Origins of German Culture,1,1,2
CAS LI 283,A Study of Italian Cinema from the 1940s to the Present,1,1,2
CAS LI 386,Fascism and the Holocaust in Italy,1,1,2
CAS LI 445,On Screen: Italians in America,1,1,2
CAS LJ 350,Readings in Modern Japanese Fiction,1,1,2
CAS LJ 383,Auteur Studies: Japan,1,1,2
CAS LK 251,Classics of Korean Literature,1,1,2
CAS LK 317,Hanmun Premodern Korean Literary Sinitic,1,1,2
CAS LR 289,"Russian Culture: Literature, Film, and Arts (in English translation)",1,1,2
CAS PO 394,Catastrophe and Memory,1,1,2
CAS RN 101,The Bible,1,1,2
CAS RN 365,"Art, Media, and Buddhism",1,1,2
CAS TL 500,History and Theory of Translation,1,1,2
CAS TL 551,Topics in Translation,1,1,2
