code,name,Philosophical Inquiry and Life's Meanings,Aesthetic Exploration,Historical Consciousness,Scientific Inquiry I,Social Inquiry I,Scientific Inquiry II,Social Inquiry II,Quantitative Reasoning I,Quantitative Reasoning II,The Individual in Community,Global Citizenship and Intercultural Literacy,Ethical Reasoning,First-Year Writing Seminar,"Writing, Research, and Inquiry",Writing-Intensive Course,Oral and/or Signed Communication,Digital/Multimedia Expression,Critical Thinking,Research and Information Literacy,Teamwork/Collaboration,Creativity/Innovation
QST AC 221,Financial Accounting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 222,Managerial Accounting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 347,Intermediate Accounting 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 348,Intermediate Accounting 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 414,Financial Statement Analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 420,Introduction to Financial Analytics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 430,Accounting Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 431,Sustainability Reporting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 469,Principles of Income Taxation I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 498,Directed Study: Accounting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 565,Auditing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 710,Financial Reporting and Analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 711,Financial Reporting and Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 814,Financial Statement Analysis & Investor Decisions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 820,Financial Analytics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 830,Managerial Accounting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 847,Intermediate Accounting 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 848,Intermediate Accounting 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 860,Accounting Risk Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 865,Auditing Issues & Problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 869,Principles of Income Taxation 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 895,Action Learning Directed Study in Accounting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 898,Directed Study: Accounting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 899,Directed Study: Accounting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 901,Introduction to Accounting Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 909,Contemporary Accounting Topics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 918,Financial Accounting Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 919,Managerial and Cost Accounting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 990,Current Topics Seminar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 998,Directed Study: Accounting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST AC 999,Directed Study: Accounting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 221,Introduction to Data and Business Analytics,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 222,Modeling Business Decisions and Market Outcomes with Spreadsheets and Statistical Programming,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 223,Business Modeling with Spreadsheets,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 305,Business Decision-Making with Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 510,Neural Networks and AI: From Foundations to Generative Models,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 572,Business Experiments and Causal Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 576,Machine Learning for Business Analytics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 600,Introduction to Programming with Python,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 602,Fundamentals of Data Analysis and Statistics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 775,Business Analytics Toolbox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 780,Introduction to Data Analytics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 810,Supervised Machine Learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 815,Competing with Analytics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 820,Unsupervised and Unstructured Machine Learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 830,Business Experimentation and Causal Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 840,Data Ethics: Analytics in Social Context,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 843,Big Data Analytics for Business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 860,Marketing Analytics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 865,Neural Networks in Business: From Foundations to Generative AI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 870,Financial Analytics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 875,Operations and Supply Chain Analytics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 878,Machine Learning and Data Infrastructure in Health Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 880,People Analytics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 881,Analytics for Customer Strategies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 882,Deploying Analytics Pipelines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 885,Advanced Analytics 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 888,Capstone Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 890,Analytics Practicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 891,Analytics Practicum 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BE 101,Introductory Microeconomics for Business and Strategy,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
QST BE 102,Introduction to Macroeconomics for Business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BE 325,Strategy in the Health and Life Science Sector,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BE 350,The Psychology of Decision Making: Implications for Business and Public Policy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
QST BE 720,"Organizations, Markets, and Society",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BE 721,Economics and Management Decisions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BE 834,Macroeconomics in the Global Environment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BE 845,Improving Your Decisions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST DS 906,Fundamentals of Research and the Philosophies of Science (previously MK912),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST DS 911,Seminar in Macro Organizational Theory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST DS 913,Experimental Design and Methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST DS 919,Machine Learning Method for Social Science Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST DS 921,Behavioral Science Writing Seminar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST DS 925,Methods for Causal Inference in Strategy Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST DS 929,Analytical Modeling for Business Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST DS 999,Doctoral Dissertation Study,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST ES 090,Ascend Seminar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST ES 110,Explore Your Career,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST ES 210,Build Your Career Toolkit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST ES 215,Explore Your Career and Build Your Toolkit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST ES 310,Implement Your Career Plan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST ES 610,Communications in Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST ES 611,Careers in Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST ES 710,Teaming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST ES 723,Career Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST ES 729,Storytelling with Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST ES 730,Leadership Communication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST ES 735,Team Coaching,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST ES 740,Leadership Communication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST ES 750,Leadership Through Collaboration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST ES 872,Entrepreneur's Communication Playbook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST ES 898,Directed Study in Executive Skills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
