code,name,Philosophical Inquiry and Life's Meanings,Aesthetic Exploration,Historical Consciousness,Scientific Inquiry I,Social Inquiry I,Scientific Inquiry II,Social Inquiry II,Quantitative Reasoning I,Quantitative Reasoning II,The Individual in Community,Global Citizenship and Intercultural Literacy,Ethical Reasoning,First-Year Writing Seminar,"Writing, Research, and Inquiry",Writing-Intensive Course,Oral and/or Signed Communication,Digital/Multimedia Expression,Critical Thinking,Research and Information Literacy,Teamwork/Collaboration,Creativity/Innovation
QST BA 221,Introduction to Data and Business Analytics,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 222,Modeling Business Decisions and Market Outcomes with Spreadsheets and Statistical Programming,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
QST BA 223,Business Modeling with Spreadsheets,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
QST BE 101,Introductory Microeconomics for Business and Strategy,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
QST BE 325,Strategy in the Health and Life Science Sector,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST BE 350,The Psychology of Decision Making: Implications for Business and Public Policy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
QST IM 475,Global Management Experience,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
QST MO 221,The Dynamics of Leading Organizations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
QST MO 356,Leadership and Management of Social Enterprises,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
QST MO 460,The Leadership Challenge,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
QST OM 351,Supply Chain Risk and Sustainability,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
QST SI 250,Ideas to Impact,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
QST SI 340,Family Business Management,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
QST SI 422,"Strategy, Innovation, and Global Competition",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
QST SI 453,Strategies in Environmental Sustainability,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
QST SI 480,The Business of Technology Innovation,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QST SM 131,"Business, Markets, and Society",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
QST SM 275,Critical and Analytic Thinking for Business,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
QST SM 303,Cross-Functional Core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
