code,name,Philosophical Inquiry and Life's Meanings,Aesthetic Exploration,Historical Consciousness,Scientific Inquiry I,Social Inquiry I,Scientific Inquiry II,Social Inquiry II,Quantitative Reasoning I,Quantitative Reasoning II,The Individual in Community,Global Citizenship and Intercultural Literacy,Ethical Reasoning,First-Year Writing Seminar,"Writing, Research, and Inquiry",Writing-Intensive Course,Oral and/or Signed Communication,Digital/Multimedia Expression,Critical Thinking,Research and Information Literacy,Teamwork/Collaboration,Creativity/Innovation
SAR HP 150,First-Year Sargent Seminar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAR HP 151,Introduction to Health Professions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAR HP 220,Occupation and Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAR HP 250,Introduction to Critical Inquiry in Behavior and Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SAR HP 252,Health and Disability Across the Lifespan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SAR HP 306,Foundations of Health Promotion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
SAR HP 321,Health Conditions Across the Life-course,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAR HP 353,Organization and Delivery of Health Care in the U.S.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SAR HP 405,Practicum and Seminar in Behavior and Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAR HP 412,Psychopathology and Rehabilitation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAR HP 454,"Social Determinants of Health - Sex, Sexual Orientation, and Gender",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAR HP 495,Senior Thesis for Distinction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAR HP 497,IND STUDY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAR HP 500,Helping Skills: Fundamentals of Health Communications,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAR HP 531,Clinical Medicine I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAR HP 532,Clinical Medicine II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAR HP 561,Evidence Based Practice I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAR HP 565,Biomechanics of Human Movement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAR HP 650,Health Care Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAR HP 720,Educational Theory and Practice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAR HP 737,Instrumentation for Analysis of Motion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAR HP 770,Health Care Management - PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAR HP 771,Foundations of Motor Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAR HP 804,Practicum: Teaching in the Health Professions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAR HS 201,Introduction to Nutrition,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAR HS 210,Introduction to Critical Inquiry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAR HS 221,Research Experience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SAR HS 222,Research Experience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAR HS 230,Food Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAR HS 241,Research Experience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
SAR HS 242,Research Experience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
SAR HS 251,Human Nutrition Science,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
