code,name,Philosophical Inquiry and Life's Meanings,Aesthetic Exploration,Historical Consciousness,Scientific Inquiry I,Social Inquiry I,Scientific Inquiry II,Social Inquiry II,Quantitative Reasoning I,Quantitative Reasoning II,The Individual in Community,Global Citizenship and Intercultural Literacy,Ethical Reasoning,First-Year Writing Seminar,"Writing, Research, and Inquiry",Writing-Intensive Course,Oral and/or Signed Communication,Digital/Multimedia Expression,Critical Thinking,Research and Information Literacy,Teamwork/Collaboration,Creativity/Innovation
SHA HF 100,Introduction to Hospitality,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
SHA HF 140,Hospitality Field Experience 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHA HF 150,Experience Management,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
SHA HF 210,Financial Accounting for the Hospitality Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHA HF 220,Food & Beverage Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHA HF 222,Hospitality Revenue Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHA HF 231,Talent and People Strategies,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SHA HF 240,Hospitality Field Experience 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHA HF 250,Hospitality Law,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHA HF 260,Introduction to Hospitality Marketing,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SHA HF 270,Accommodation Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHA HF 271,Contemporary Issues in Hospitality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHA HF 278,Hospitality Analytical Problem Solving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHA HF 282,Hospitality Communications,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
SHA HF 295,Private Club Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
