code,name,Philosophical Inquiry and Life's Meanings,Aesthetic Exploration,Historical Consciousness,Scientific Inquiry I,Social Inquiry I,Scientific Inquiry II,Social Inquiry II,Quantitative Reasoning I,Quantitative Reasoning II,The Individual in Community,Global Citizenship and Intercultural Literacy,Ethical Reasoning,First-Year Writing Seminar,"Writing, Research, and Inquiry",Writing-Intensive Course,Oral and/or Signed Communication,Digital/Multimedia Expression,Critical Thinking,Research and Information Literacy,Teamwork/Collaboration,Creativity/Innovation
WED BI 535,Literacy Development for Bilingual Students: Instruction and Assessment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
WED CE 306,Introduction to Human Development,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WED CE 342,Anti-Oppressive Practice: Education & Applied Psychology,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
WED CF 510,Child and Adolescent Mental Health,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WED DE 300,Introduction to the Deaf World,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
WED DE 340,"Dynamics of Diversity, Oppression, and Social Justice within Deaf Communities",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
WED DE 350,Deaf History and Culture,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
WED DE 351,Deaf Literature and Visual Arts,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
WED DE 372,Social Psychology and the Deaf World,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WED DE 382,American Sign Language 2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
WED DE 384,American Sign Language 4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
WED DE 472,Sign Language Structure,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WED DE 534,Sign Language Structure,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WED DE 582,American Sign Language 2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
WED DS 502,Introduction to Adolescent Development,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WED EC 350,Introduction to Early Childhood Education,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
WED ED 200,Introduction to Justice-Based Education,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
WED ED 206,Family & Community Engagement,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
WED ED 220,Theme-Based Approaches to Studying Complex Issues of Language in Education and Human Development,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
WED ED 225,Project Citizen: Promoting Civic Engagement,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
WED ED 230,Introduction to Design as Educational Inquiry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
WED ED 245,Theory and Practice of Peer Counseling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WED ED 246,Practicum in Peer Leadership and Mentoring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WED ED 260,Teaching Children's Literature Critically,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WED ED 431,CHILD POLICY: CREATING A SOCIETY WHERE CHILDREN THRIVE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
WED ED 506,Making Learning Visible: Exploring Multimedia Tools to Document and Deepen Learning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WED EN 500,Lesson Design & Instruction Delivery in the Humanities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WED EN 512,Methods of Teaching Writing in Secondary English Language Arts,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
WED EN 538,Teaching in American Literature,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
WED EN 712,Methods of Teaching Writing in Secondary English Language Arts,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
WED HD 120,Life Design 1: Developing Your Personal Brand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WED HD 121,Launching Your Personal Brand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WED HD 211,Student Motivation,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WED HD 265,Social Science Research for Community Impact,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
WED HD 300,Educational Psychology,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WED HD 306,Introduction to Human Development,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WED HD 327,Asian American Psychology,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
WED HD 330,Psychology of Race,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
WED HD 331,African American School Achievement,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
WED HD 354,Challenging Educational Inequity,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WED HD 384,Restorative Justice in Youth-Serving Settings,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WED HD 385,Psychological Trauma,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WED LS 560,Introduction to Language and Language Acquisition,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
WED ME 200,Introduction to Mathematics Education,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
WED ME 363,Problem Solving in Mathematics,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
WED ME 501,Methods for Tutoring Math Students,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WED ME 563,Problem Solving in Mathematics,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
WED SC 521,Introduction to STEM Education Theory and Practice,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
WED SE 250,"Disability, Education, and Public Policy",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
